original,transformed,Label
He has no prior experience.,He is inexperienced.,Negative to Positive
We should appreciate diverse cultures.,Diverse cultures should be appreciated by us.,Active to Passive
The police are questioning a suspect.,A suspect is being questioned by the police.,Active to Passive
I wouldn't want to cause any trouble.,I wish to avoid causing trouble.,Negative to Positive
The students are preparing their final projects.,Their final projects are being prepared by the students.,Active to Passive
She wouldn't betray her friends.,She was loyal to her friends.,Negative to Positive
He warned me not to pet the stray dog.,"He warned me, 'Do not pet the stray dog!'",Indirect to Direct Speech
They play video games.,They do not play video games.,Positive to Negative
"The sign stated, ""Road Closed Ahead.""",The sign stated that the road was closed ahead.,Direct to Indirect Speech
He didn't show any emotion.,He was emotionless.,Negative to Positive
They weren't interested in the offer.,They were uninterested in the offer.,Negative to Positive
"The man inquired, ""Where do you live?""",The man inquired where I lived.,Direct to Indirect Speech
You could try a different approach.,You could not try a different approach.,Positive to Negative
He asked if I had finished the movie.,"He asked, 'Have you finished the movie?'",Indirect to Direct Speech
He helped his friend.,He did not help his friend.,Positive to Negative
"My mother told me, ""You must clean your room today.""",My mother told me that I had to clean my room that day.,Direct to Indirect Speech
I don't mind the noise.,I tolerate the noise.,Negative to Positive
It's not a unique problem.,It's a common problem.,Negative to Positive
We should be more active.,We should not be more active.,Positive to Negative
The old car was repaired by my father.,My father repaired the old car.,Passive to Active
The government is funding several research programs.,Several research programs are being funded by the government.,Active to Passive
She couldn't recall the event.,The event was forgotten by her.,Negative to Positive
The money had been deposited into the account.,She had deposited the money into the account.,Passive to Active
We didn't anticipate the consequences.,We failed to anticipate the consequences.,Negative to Positive
"She suggested, ""Let's go for a coffee.""",She suggested that they go for a coffee.,Direct to Indirect Speech
We didn't receive any feedback.,We lacked feedback.,Negative to Positive
She promised that she would bake a cake for my birthday.,"She promised, 'I will bake a cake for your birthday.'",Indirect to Direct Speech
I have a lot of questions.,I do not have a lot of questions.,Positive to Negative
The widespread pollution affected many natural habitats.,Many natural habitats were affected by the widespread pollution.,Active to Passive
It's not a permanent solution.,It's a temporary solution.,Negative to Positive
I have completed three chapters of my thesis.,Three chapters of my thesis have been completed by me.,Active to Passive
Someone stole my laptop from the office.,My laptop was stolen from the office.,Active to Passive
The meeting is being conducted in English.,They are conducting the meeting in English.,Passive to Active
The decision had been reached after much debate.,They had reached the decision after much debate.,Passive to Active
She has a lot of patience.,She does not have a lot of patience.,Positive to Negative
They have visited many countries.,They have not visited many countries.,Positive to Negative
"He asserted, ""I am fully committed to my goals.""",He asserted that he was fully committed to his goals.,Direct to Indirect Speech
The heavy rain caused flooding in the low-lying areas.,Flooding in the low-lying areas was caused by the heavy rain.,Active to Passive
The solution will be proposed by the expert.,The expert will propose the solution.,Passive to Active
We didn't expect such a response.,We were surprised by such a response.,Negative to Positive
They have completed the project.,The project has been completed by them.,Active to Passive
The architect will have designed the skyscraper.,The skyscraper will have been designed by the architect.,Active to Passive
The local government organizes public consultations.,Public consultations are organized by the local government.,Active to Passive
"He suggested, ""Let's reschedule for next week.""",He suggested that they reschedule for the following week.,Direct to Indirect Speech
I am feeling confident.,I am not feeling confident.,Positive to Negative
He denied that he had ever smoked.,"He denied, 'I have never smoked.'",Indirect to Direct Speech
"He asked, ""What time does the movie start?""",He asked what time the movie started.,Direct to Indirect Speech
The job is challenging.,The job is not challenging.,Positive to Negative
The concert will be held outdoors.,They will hold the concert outdoors.,Passive to Active
He never expresses his feelings.,He always conceals his feelings.,Negative to Positive
The movie was short.,The movie was not short.,Positive to Negative
"He suggested, ""Let's try a different approach.""",He suggested that they try a different approach.,Direct to Indirect Speech
You might feel better soon.,You might not feel better soon.,Positive to Negative
The criminal was interrogated by the police.,The police interrogated the criminal.,Passive to Active
He has completed his master's degree.,His master's degree has been completed by him.,Active to Passive
I wouldn't want to disappoint them.,I wish to avoid disappointing them.,Negative to Positive
She wondered if he would be angry.,"She wondered, 'Will he be angry?'",Indirect to Direct Speech
The strong winds blew away the garden furniture.,The garden furniture was blown away by the strong winds.,Active to Passive
The new equipment had been ordered last month.,We had ordered the new equipment last month.,Passive to Active
The strong earthquake destroyed many buildings.,Many buildings were destroyed by the strong earthquake.,Active to Passive
"They advised us, ""You should always be cautious.""",They advised us that we should always be cautious.,Direct to Indirect Speech
They went to the beach last weekend.,They did not go to the beach last weekend.,Positive to Negative
"They announced, ""The new museum will open its doors next month.""",They announced that the new museum would open its doors the following month.,Direct to Indirect Speech
The gardener will have trimmed the hedges.,The hedges will have been trimmed by the gardener.,Active to Passive
The store closes early.,The store does not close early.,Positive to Negative
The information is not public.,The information is private.,Negative to Positive
"The child begged, ""Can I stay up just a little longer?""",The child begged to stay up just a little longer.,Direct to Indirect Speech
We didn't offer any alternatives.,We offered no alternatives.,Negative to Positive
The sudden storm surprised the sailors.,The sailors were surprised by the sudden storm.,Active to Passive
She doesn't like to follow rules.,She dislikes following rules.,Negative to Positive
"She reminded him, ""Don't forget to pay the bills.""",She reminded him not to forget to pay the bills.,Direct to Indirect Speech
The cat jumped high.,The cat did not jump high.,Positive to Negative
They had successfully implemented the software update.,The software update had been successfully implemented by them.,Active to Passive
He isn't very punctual.,He is often late.,Negative to Positive
She couldn't handle the pressure.,She buckled under the pressure.,Negative to Positive
The criminal was sentenced to ten years.,The judge sentenced the criminal to ten years.,Passive to Active
He isn't very reliable.,He is unreliable.,Negative to Positive
The baby cried loudly.,The baby did not cry loudly.,Positive to Negative
The storm caused extensive damage to the coast.,Extensive damage was caused to the coast by the storm.,Active to Passive
The committee rejected their proposal.,Their proposal was rejected by the committee.,Active to Passive
The proposal was accepted by the committee.,The committee accepted the proposal.,Passive to Active
The criminal was found guilty.,The jury found the criminal guilty.,Passive to Active
"She regretted, ""I wish I had studied harder.""",She regretted that she wished she had studied harder.,Direct to Indirect Speech
Someone stole my entire luggage at the airport.,My entire luggage was stolen at the airport.,Active to Passive
He had sent the email.,The email had been sent by him.,Active to Passive
The error has been documented.,We have documented the error.,Passive to Active
She had prepared the presentation.,The presentation had been prepared by her.,Active to Passive
"My mother always says, ""Every cloud has a silver lining.""",My mother always says that every cloud has a silver lining.,Direct to Indirect Speech
They should fix the error.,The error should be fixed by them.,Active to Passive
The charity gives assistance to those in need.,Assistance is given to those in need by the charity.,Active to Passive
"The newspaper reported, ""The local economy is booming.""",The newspaper reported that the local economy was booming.,Direct to Indirect Speech
"They argued, ""The decision was made too hastily.""",They argued that the decision had been made too hastily.,Direct to Indirect Speech
I don't agree with your assessment.,I disagree with your assessment.,Negative to Positive
It's not a good idea to procrastinate.,It's a bad idea to procrastinate.,Negative to Positive
"My colleague told me, ""I'm starting a new hobby next month.""",My colleague told me that she was starting a new hobby the following month.,Direct to Indirect Speech
My grandmother said that she loved spending time with us.,"My grandmother said, 'I love spending time with you.'",Indirect to Direct Speech
"The guard yelled, ""Hands up!""",The guard yelled at them to put their hands up.,Direct to Indirect Speech
You could tell him the truth.,You could not tell him the truth.,Positive to Negative
I asked him if he knew how to fix a car.,"I asked him, 'Do you know how to fix a car?'",Indirect to Direct Speech
The government should have introduced these reforms.,These reforms should have been introduced by the government.,Active to Passive
The food is ready.,The food is not ready.,Positive to Negative
They haven't acknowledged the efforts.,They have overlooked the efforts.,Negative to Positive
The results were not unexpected.,The results were expected.,Negative to Positive
She denied having seen me there before.,"She denied, 'I have never seen you here before.'",Indirect to Direct Speech
"She admitted, ""I sometimes daydream during meetings.""",She admitted that she sometimes daydreamed during meetings.,Direct to Indirect Speech
The children were being picked up by their parents.,Their parents were picking up the children.,Passive to Active
The garden had been watered before sunset.,He had watered the garden before sunset.,Passive to Active
The software is being updated.,Technicians are updating the software.,Passive to Active
The school will grant certificates of participation to everyone.,Certificates of participation will be granted to everyone by the school.,Active to Passive
"He whispered, ""The enemy is approaching.""",He whispered that the enemy was approaching.,Direct to Indirect Speech
They complained that the internet connection was slow.,"They complained, 'The internet connection is slow.'",Indirect to Direct Speech
The bird flew away.,The bird did not fly away.,Positive to Negative
"My mother reminded me, ""Your father is coming home soon.""",My mother reminded me that my father was coming home soon.,Direct to Indirect Speech
It's not an exact science.,It's an imprecise science.,Negative to Positive
"My mother reminded me, ""Your aunt is coming over for dinner tonight.""",My mother reminded me that my aunt was coming over for dinner that night.,Direct to Indirect Speech
The company promotes a culture of teamwork.,A culture of teamwork is promoted by the company.,Active to Passive
He didn't hesitate to help.,He readily helped.,Negative to Positive
They had informed the public about the upcoming changes.,The public had been informed about the upcoming changes by them.,Active to Passive
Employees appreciate fair treatment from management.,Fair treatment from management is appreciated by employees.,Active to Passive
He has completed two major projects this year.,Two major projects have been completed by him this year.,Active to Passive
The task was completed on time.,He completed the task on time.,Passive to Active
I am feeling optimistic.,I am not feeling optimistic.,Positive to Negative
The ancient ruins were discovered by archaeologists.,Archaeologists discovered the ancient ruins.,Passive to Active
"She offered, ""I can pick you up from the airport.""",She offered that she could pick me up from the airport.,Direct to Indirect Speech
The committee granted the proposal final approval.,Final approval was granted to the proposal by the committee.,Active to Passive
You should be on time.,You should not be on time.,Positive to Negative
The public will elect a new leader.,A new leader will be elected by the public.,Active to Passive
She couldn't keep her balance.,She lost her balance.,Negative to Positive
"The news anchor reported, ""A major earthquake struck the region this morning.""",The news anchor reported that a major earthquake had struck the region that morning.,Direct to Indirect Speech
"The child cried, ""I want an ice cream!""",The child cried that he wanted an ice cream.,Direct to Indirect Speech
The problem concerned him.,He was concerned by the problem.,Active to Passive
The heavy rain caused severe flooding in the urban areas.,Severe flooding in the urban areas was caused by the heavy rain.,Active to Passive
She has written several books.,Several books have been written by her.,Active to Passive
"The librarian said, ""Please return overdue books immediately.""",The librarian asked us to return overdue books immediately.,Direct to Indirect Speech
She couldn't concentrate on her work.,She was unable to concentrate on her work.,Negative to Positive
"My neighbor offered, ""I can help you move your furniture.""",My neighbor offered that he could help me move my furniture.,Direct to Indirect Speech
Children usually enjoy fairy tales.,Fairy tales are usually enjoyed by children.,Active to Passive
English is spoken in many countries.,People speak English in many countries.,Passive to Active
They had informed the passengers about the delay.,The passengers had been informed about the delay by them.,Active to Passive
The discovery excited the scientists.,The scientists were excited by the discovery.,Active to Passive
You should rest now.,You should not rest now.,Positive to Negative
"He boasted, ""My team won the championship last season.""",He boasted that his team had won the championship the previous season.,Direct to Indirect Speech
The old building is being converted into apartments.,Developers are converting the old building into apartments.,Passive to Active
The principal instructed the students to assemble in the hall.,"The principal instructed the students, 'Assemble in the hall!'",Indirect to Direct Speech
The company launched a new product.,A new product was launched by the company.,Active to Passive
The door is closed.,The door is not closed.,Positive to Negative
He promised that he would call me the next day.,"He promised, 'I will call you tomorrow.'",Indirect to Direct Speech
"He complained, ""My computer is running very slowly.""",He complained that his computer was running very slowly.,Direct to Indirect Speech
You must follow directions.,You must not follow directions.,Positive to Negative
The teacher ordered the students to open their books.,"The teacher ordered the students, 'Open your books!'",Indirect to Direct Speech
He's not very athletic.,He's unathletic.,Negative to Positive
The message was encrypted using advanced technology.,They encrypted the message using advanced technology.,Passive to Active
"The speaker said, ""I'm thrilled to share my insights with you.""",The speaker said that he was thrilled to share his insights with them.,Direct to Indirect Speech
"The sign read, ""Private. No Trespassing.""",The sign read that it was private and no trespassing was allowed.,Direct to Indirect Speech
The email had been forwarded to the manager.,She had forwarded the email to the manager.,Passive to Active
He is painting a portrait.,A portrait is being painted by him.,Active to Passive
I like to cook.,I do not like to cook.,Positive to Negative
She had finished college.,She had not finished college.,Positive to Negative
They repaired the old car.,The old car was repaired by them.,Active to Passive
They celebrate their anniversary every year.,Their anniversary is celebrated by them every year.,Active to Passive
He never pays attention in class.,He always neglects attention in class.,Negative to Positive
The letter had been sent a week ago.,I had sent the letter a week ago.,Passive to Active
The factory manufactures high-quality textiles.,High-quality textiles are manufactured by the factory.,Active to Passive
"The general ordered, ""Charge!""",The general ordered them to charge.,Direct to Indirect Speech
His honesty impressed us.,We were impressed by his honesty.,Active to Passive
She had a lot of fun.,She did not have a lot of fun.,Positive to Negative
Someone stole my passport during my trip.,My passport was stolen during my trip.,Active to Passive
The witness stated that he had seen the suspect flee.,"The witness stated, 'I saw the suspect flee.'",Indirect to Direct Speech
The team will offer him a contract.,A contract will be offered to him by the team.,Active to Passive
The police are questioning a number of witnesses.,A number of witnesses are being questioned by the police.,Active to Passive
"The police officer asked, ""Do you know anything about the incident?""",The police officer asked if I knew anything about the incident.,Direct to Indirect Speech
"She exclaimed, ""This is incredible!""",She exclaimed that that was incredible.,Direct to Indirect Speech
He has published several research papers.,Several research papers have been published by him.,Active to Passive
We will have dinner at 7 PM.,We will not have dinner at 7 PM.,Positive to Negative
The proposal is not feasible.,The proposal is unfeasible.,Negative to Positive
They have traveled a lot.,They have not traveled a lot.,Positive to Negative
The police warned the public to stay alert.,"The police warned the public, 'Stay alert!'",Indirect to Direct Speech
The soup is hot.,The soup is not hot.,Positive to Negative
The documents are being collected.,The assistant is collecting the documents.,Passive to Active
The contract has been signed by both parties.,Both parties have signed the contract.,Passive to Active
She couldn't hide her disappointment.,Her disappointment was evident.,Negative to Positive
The fire was put out by the firefighters.,The firefighters put out the fire.,Passive to Active
The artwork was appreciated by the critics.,The critics appreciated the artwork.,Passive to Active
The problem was caused by external interference.,External interference caused the problem.,Passive to Active
They had completed the scientific experiment accurately.,The scientific experiment had been accurately completed by them.,Active to Passive
We will try again tomorrow.,We will not try again tomorrow.,Positive to Negative
The city was destroyed by the invaders.,The invaders destroyed the city.,Passive to Active
The principal announced the new school year dates to the students.,The new school year dates were announced to the students by the principal.,Active to Passive
The flowers smell wonderful.,The flowers do not smell wonderful.,Positive to Negative
"He mused, ""I've always enjoyed reading sci-fi novels.""",He mused that he had always enjoyed reading sci-fi novels.,Direct to Indirect Speech
"They advised, ""You should get a second opinion.""",They advised me that I should get a second opinion.,Direct to Indirect Speech
I am going to the gym.,I am not going to the gym.,Positive to Negative
They haven't made any progress.,They are at a standstill.,Negative to Positive
They told me that they had celebrated their anniversary the previous week.,"They told me, 'We celebrated our anniversary last week.'",Indirect to Direct Speech
The company will announce the results next week.,The results will be announced by the company next week.,Active to Passive
His reputation had been damaged by the scandal.,The scandal had damaged his reputation.,Passive to Active
The school awarded him a scholarship.,He was awarded a scholarship by the school.,Active to Passive
"He confirmed, ""I have already made the reservation.""",He confirmed that he had already made the reservation.,Direct to Indirect Speech
He read the newspaper.,He did not read the newspaper.,Positive to Negative
We were reading interesting articles.,Interesting articles were being read by us.,Active to Passive
The decision was not unanimous.,The decision was divided.,Negative to Positive
I don't remember seeing him.,I have no recollection of seeing him.,Negative to Positive
I don't have time for this.,I am too busy for this.,Negative to Positive
I am wearing a coat.,I am not wearing a coat.,Positive to Negative
The severe drought affected many homes.,Many homes were affected by the severe drought.,Active to Passive
Someone has stolen my identity.,My identity has been stolen.,Active to Passive
"They whispered, ""We think someone is listening.""",They whispered that they thought someone was listening.,Direct to Indirect Speech
We are visiting friends this weekend.,We are not visiting friends this weekend.,Positive to Negative
He has no regrets about his past.,He is unregretful about his past.,Negative to Positive
They haven't made any progress.,They have made no progress.,Negative to Positive
Scientists have discovered a new planet.,A new planet has been discovered by scientists.,Active to Passive
The author will sign copies of his book.,Copies of his book will be signed by the author.,Active to Passive
They complained that the music was too loud there.,"They complained, 'The music is too loud here.'",Indirect to Direct Speech
The archeologists unearthed a well-preserved mummy.,A well-preserved mummy was unearthed by the archeologists.,Active to Passive
The new product had been anticipated for months.,Consumers had anticipated the new product for months.,Passive to Active
The wall was damaged by graffiti.,Graffiti damaged the wall.,Passive to Active
He has no concern for safety.,He is unconcerned about safety.,Negative to Positive
This theory is widely accepted.,Many people widely accept this theory.,Passive to Active
The local council built a new park.,A new park was built by the local council.,Active to Passive
He is writing a report.,He is not writing a report.,Positive to Negative
"They whispered excitedly, ""We found the hidden key!""",They whispered excitedly that they had found the hidden key.,Direct to Indirect Speech
You must finish your meal.,You must not finish your meal.,Positive to Negative
We didn't take advantage of the opportunity.,We missed the opportunity.,Negative to Positive
The meal had been cooked perfectly.,The chef had cooked the meal perfectly.,Passive to Active
"She offered, ""I could drive you home.""",She offered that she could drive me home.,Direct to Indirect Speech
She commented that the movie was too long.,"She commented, 'The movie is too long.'",Indirect to Direct Speech
The task is not difficult.,The task is easy.,Negative to Positive
"He confessed, ""I ate the last slice of cake.""",He confessed that he had eaten the last slice of cake.,Direct to Indirect Speech
They have seen him before.,They have not seen him before.,Positive to Negative
The traffic police warned drivers to slow down.,"The traffic police warned drivers, 'Slow down!'",Indirect to Direct Speech
"She exclaimed, ""What a disaster!""",She exclaimed that it was a disaster.,Direct to Indirect Speech
It's not a big deal.,It's a minor issue.,Negative to Positive
She's not a very good friend.,She's a poor friend.,Negative to Positive
She begged him to give her another chance.,"She begged him, 'Please give me another chance!'",Indirect to Direct Speech
The documents were stolen from the office.,Someone stole the documents from the office.,Passive to Active
The email had been sent to all recipients.,He had sent the email to all recipients.,Passive to Active
They had postponed the meeting due to unforeseen circumstances.,The meeting had been postponed by them due to unforeseen circumstances.,Active to Passive
"He boasted, ""I can hold my breath for two minutes.""",He boasted that he could hold his breath for two minutes.,Direct to Indirect Speech
My friend sent me an email.,An email was sent to me by my friend.,Active to Passive
"My little sister pleaded, ""Please read me a bedtime story.""",My little sister pleaded with me to read her a bedtime story.,Direct to Indirect Speech
She had a long conversation.,She did not have a long conversation.,Positive to Negative
She has a big family.,She does not have a big family.,Positive to Negative
"My father often said, ""Work hard and be kind.""",My father often said that one should work hard and be kind.,Direct to Indirect Speech
I have a good memory.,I do not have a good memory.,Positive to Negative
The patient requested the nurse to bring him some water.,"The patient requested the nurse, 'Please bring me some water.'",Indirect to Direct Speech
The show was watched by millions.,Millions watched the show.,Passive to Active
I don't think it's a good idea.,I think it's a bad idea.,Negative to Positive
He offered to help me move my furniture.,"He offered, 'I will help you move your furniture.'",Indirect to Direct Speech
"My colleague asked, ""Will you be free for lunch tomorrow?""",My colleague asked if I would be free for lunch the next day.,Direct to Indirect Speech
I wondered what was happening.,"I wondered, 'What is happening?'",Indirect to Direct Speech
He has no respect for traditions.,He disrespects traditions.,Negative to Positive
"My colleague told me, ""I'm going on vacation next month.""",My colleague told me that she was going on vacation the following month.,Direct to Indirect Speech
"The manager announced, ""We are launching a new product next quarter.""",The manager announced that they were launching a new product the following quarter.,Direct to Indirect Speech
She had a good idea.,She did not have a good idea.,Positive to Negative
He has no ambition.,He is unambitious.,Negative to Positive
"My brother told me, ""I bought a new car yesterday.""",My brother told me that he had bought a new car the day before.,Direct to Indirect Speech
She couldn't articulate her thoughts.,She was unable to articulate her thoughts.,Negative to Positive
I wondered who had broken the glass.,"I wondered, 'Who broke the glass?'",Indirect to Direct Speech
The company has offered lucrative incentives to its sales team.,Lucrative incentives have been offered to its sales team by the company.,Active to Passive
They arrived late.,They did not arrive late.,Positive to Negative
I am going home now.,I am not going home now.,Positive to Negative
He denied that he had ever met the victim.,"He denied, 'I have never met the victim.'",Indirect to Direct Speech
The company values innovation.,Innovation is valued by the company.,Active to Passive
"My friend advised, ""Don't forget to send that email.""",My friend advised me not to forget to send that email.,Direct to Indirect Speech
The beautiful music calmed everyone.,Everyone was calmed by the beautiful music.,Active to Passive
The house was built in the 1950s.,They built the house in the 1950s.,Passive to Active
They publish new books every month.,New books are published by them every month.,Active to Passive
They understood the instructions clearly.,They did not understand the instructions clearly.,Positive to Negative
"The speaker said, ""I'm here to inspire change.""",The speaker said that he was there to inspire change.,Direct to Indirect Speech
I don't accept your apology.,I reject your apology.,Negative to Positive
He wrote a letter.,He did not write a letter.,Positive to Negative
They have already left.,They have not already left.,Positive to Negative
We cannot go out tonight.,We must stay in tonight.,Negative to Positive
We are celebrating our anniversary.,We are not celebrating our anniversary.,Positive to Negative
"She stated calmly, ""Everything will be alright in the end.""",She stated calmly that everything would be alright in the end.,Direct to Indirect Speech
"She whispered, ""I will tell you a secret tomorrow.""",She whispered that she would tell me a secret the next day.,Direct to Indirect Speech
The new equipment has been installed.,Technicians have installed the new equipment.,Passive to Active
He will design the new website.,The new website will be designed by him.,Active to Passive
She doesn't like being told what to do.,She dislikes being micromanaged.,Negative to Positive
You could call me later.,You could not call me later.,Positive to Negative
They like to read novels.,They do not like to read novels.,Positive to Negative
"He told me, ""I read a fascinating article this morning.""",He told me that he had read a fascinating article that morning.,Direct to Indirect Speech
He explained that he had missed his bus.,"He explained, 'I missed my bus.'",Indirect to Direct Speech
The budget is being reviewed by external auditors.,External auditors are reviewing the budget.,Passive to Active
He inquired about the exact location.,"He inquired, 'What is the exact location?'",Indirect to Direct Speech
The answer is clear.,The answer is not clear.,Positive to Negative
"She wondered, ""Am I doing the right thing?""",She wondered if she was doing the right thing.,Direct to Indirect Speech
We didn't foresee the consequences.,We overlooked the consequences.,Negative to Positive
We are planning to buy a new car.,We are not planning to buy a new car.,Positive to Negative
The rain stopped.,The rain did not stop.,Positive to Negative
They can build houses quickly.,Houses can be built quickly by them.,Active to Passive
The children were collecting autumn leaves for a project.,Autumn leaves were being collected by the children for a project.,Active to Passive
We are getting ready.,We are not getting ready.,Positive to Negative
He offered to drive her home.,"He offered, 'I will drive you home.'",Indirect to Direct Speech
She is writing a report.,A report is being written by her.,Active to Passive
"My neighbor wondered, ""Is the library open on Sundays?""",My neighbor wondered if the library was open on Sundays.,Direct to Indirect Speech
The research has been published.,They have published the research.,Passive to Active
I am working on a project.,I am not working on a project.,Positive to Negative
She has a good work ethic.,She does not have a good work ethic.,Positive to Negative
The coffee is hot.,The coffee is not hot.,Positive to Negative
The principal will distribute the diplomas at the graduation ceremony.,The diplomas will be distributed by the principal at the graduation ceremony.,Active to Passive
The problem is difficult.,The problem is not difficult.,Positive to Negative
He isn't very communicative.,He is uncommunicative.,Negative to Positive
The global pandemic affected economies worldwide.,Economies worldwide were affected by the global pandemic.,Active to Passive
The factory manufactures high-performance automotive parts.,High-performance automotive parts are manufactured by the factory.,Active to Passive
The message had been deleted by accident.,I had deleted the message by accident.,Passive to Active
The storm had caused widespread damage.,Widespread damage had been caused by the storm.,Active to Passive
The artists were painting the scenery.,The scenery was being painted by the artists.,Active to Passive
They understood the rules.,They did not understand the rules.,Positive to Negative
He warned me not to walk alone at night.,"He warned me, 'Do not walk alone at night!'",Indirect to Direct Speech
Thousands of people visit the national park every season.,The national park is visited by thousands of people every season.,Active to Passive
The entire meal had been prepared by his wife.,His wife had prepared the entire meal.,Passive to Active
He saw a rare bird in the forest.,He did not see a rare bird in the forest.,Positive to Negative
The prize was awarded to the youngest participant.,They awarded the prize to the youngest participant.,Passive to Active
"He reminded her, ""You have an early flight tomorrow.""",He reminded her that she had an early flight the next day.,Direct to Indirect Speech
"She informed me, ""I have an important meeting this afternoon.""",She informed me that she had an important meeting that afternoon.,Direct to Indirect Speech
It's not a fair comparison.,It's an unfair comparison.,Negative to Positive
The bread is fresh.,The bread is not fresh.,Positive to Negative
The suspect whispered that he was innocent.,"The suspect whispered, 'I am innocent.'",Indirect to Direct Speech
The landlord requested the tenant to pay the rent on time.,"The landlord requested the tenant, 'Please pay the rent on time.'",Indirect to Direct Speech
She agreed that it was the best solution.,"She agreed, 'It is the best solution.'",Indirect to Direct Speech
"He complained bitterly, ""This queue is moving so slowly.""",He complained bitterly that that queue was moving so slowly.,Direct to Indirect Speech
They shouted that they were ready.,"They shouted, 'We are ready!'",Indirect to Direct Speech
The principal announced that the school fair would be held that weekend.,"The principal announced, 'The school fair will be held this weekend.'",Indirect to Direct Speech
They showed us a new technique.,A new technique was shown to us by them.,Active to Passive
It's not an ideal situation.,It's a suboptimal situation.,Negative to Positive
My cousin said that she was learning to cook.,"My cousin said, 'I am learning to cook.'",Indirect to Direct Speech
She asked what I was reading then.,"She asked, 'What are you reading now?'",Indirect to Direct Speech
We didn't finish the race.,We failed to finish the race.,Negative to Positive
She's not a very good singer.,She's a poor singer.,Negative to Positive
He is walking the dog.,He is not walking the dog.,Positive to Negative
"He declared, ""This is unacceptable!""",He declared that that was unacceptable.,Direct to Indirect Speech
"She confirmed, ""The event has been postponed.""",She confirmed that the event had been postponed.,Direct to Indirect Speech
The children love their toys.,Their toys are loved by the children.,Active to Passive
I am feeling happy.,I am not feeling happy.,Positive to Negative
"The doctor advised, ""You should get more rest.""",The doctor advised me that I should get more rest.,Direct to Indirect Speech
The book is heavy.,The book is not heavy.,Positive to Negative
Someone must have left the gate unlatched.,The gate must have been left unlatched.,Active to Passive
The problem can be solved with a simple adjustment.,We can solve the problem with a simple adjustment.,Passive to Active
She promised that she would return the book the next week.,"She promised, 'I will return the book next week.'",Indirect to Direct Speech
The music is upbeat.,The music is not upbeat.,Positive to Negative
He warned me not to park there.,"He warned me, 'Do not park here!'",Indirect to Direct Speech
